sub_topic_name,topic_name,subject_name
Mucocele Overview,Sinusitis,ENT
Radiographic views of temporal bone,Sinusitis,ENT
Endoscopic sinus surgery – Indications,Sinusitis,ENT
Radiographic views for paranasal sinuses,Sinusitis,ENT
Nerve supply to Middle Ear,Anatomy of Middle Ear,ENT
Donaldson’s line,Anatomy of Middle Ear,ENT
Macewen’s triangle,Anatomy of Middle Ear,ENT
Type of joint between middle ear ossicles,Anatomy of Middle Ear,ENT
Citelli’s angle,Anatomy of Middle Ear,ENT
Suggested Revision,Anatomy of Middle Ear,ENT
Middle Ear Physiology,Anatomy of Middle Ear,ENT
Tympanic Plexus,Anatomy of Middle Ear,ENT
Shape of the septal cartilage,Physiology of Nose & Paranasal Sinuses,ENT
Onodi cell and Haller cell are in relation to,Physiology of Nose & Paranasal Sinuses,ENT
Movement of mucus blanket of nose is by,Physiology of Nose & Paranasal Sinuses,ENT
Radiographic views for paranasal sinuses,Physiology of Nose & Paranasal Sinuses,ENT
Bulla ethmoidalis is present in,Physiology of Nose & Paranasal Sinuses,ENT
Sinus that continues to develop till early adulthood,Physiology of Nose & Paranasal Sinuses,ENT
Nasolacrimal duct opens into,Physiology of Nose & Paranasal Sinuses,ENT
Sphenoid sinus opens into,Physiology of Nose & Paranasal Sinuses,ENT
Nerve supply of nose,Physiology of Nose & Paranasal Sinuses,ENT
Nasal secretion physiology,Physiology of Nose & Paranasal Sinuses,ENT
Anatomy of Nasal Cavity,Physiology of Nose & Paranasal Sinuses,ENT
Anatomy of the different meatus,Physiology of Nose & Paranasal Sinuses,ENT
Anatomy of External Nose,Physiology of Nose & Paranasal Sinuses,ENT
Nasal cycle,Physiology of Nose & Paranasal Sinuses,ENT
Anatomy of nasal septum,Physiology of Nose & Paranasal Sinuses,ENT
Airflow in Nose – Physiology,Physiology of Nose & Paranasal Sinuses,ENT
Boundaries of the nasal valve,Physiology of Nose & Paranasal Sinuses,ENT
Opening of various sinuses,Physiology of Nose & Paranasal Sinuses,ENT
Mucus blanket physiology,Physiology of Nose & Paranasal Sinuses,ENT
Olfactory area of the nose – Overview,Physiology of Nose & Paranasal Sinuses,ENT
Physiology of PNS,Physiology of Nose & Paranasal Sinuses,ENT
Anatomy of Maxiallry sinus,Physiology of Nose & Paranasal Sinuses,ENT
Anatomy of sphenoid sinus,Physiology of Nose & Paranasal Sinuses,ENT
Causes of Anosmia,Physiology of Nose & Paranasal Sinuses,ENT
Ethmoidal polyps,Nasal Polyps & Deviated Nasal Septum,ENT
Bernoulli’s phenomenon,Nasal Polyps & Deviated Nasal Septum,ENT
Bony septal perforation occurs in,Nasal Polyps & Deviated Nasal Septum,ENT
Alternative for SMR,Nasal Polyps & Deviated Nasal Septum,ENT
Cottle’s test,Nasal Polyps & Deviated Nasal Septum,ENT
Young’s syndrome,Nasal Polyps & Deviated Nasal Septum,ENT
Antrochoanal Polyp,Nasal Polyps & Deviated Nasal Septum,ENT
Septal Haematoma,Nasal Polyps & Deviated Nasal Septum,ENT
Septoplasty,Nasal Polyps & Deviated Nasal Septum,ENT
"DNS – overview, Rx",Nasal Polyps & Deviated Nasal Septum,ENT
Ethmoidal polyp,Nasal Polyps & Deviated Nasal Septum,ENT
Kartagener syndrome,Nasal Polyps & Deviated Nasal Septum,ENT
Tubotympanic type of CSOM,Chronic Suppurative Otitis Media,ENT
Levenson criteria,Chronic Suppurative Otitis Media,ENT
Rx of choice in atticoantral variety of CSOM,Chronic Suppurative Otitis Media,ENT
Myringoplasty,Chronic Suppurative Otitis Media,ENT
Tubercular otitis media,Chronic Suppurative Otitis Media,ENT
Theory for secondary cholesteatoma,Chronic Suppurative Otitis Media,ENT
Classification of CSOM,Chronic Suppurative Otitis Media,ENT
Cholesteatoma,Chronic Suppurative Otitis Media,ENT
Types of tympanic membrane perforation,Chronic Suppurative Otitis Media,ENT
Austin’s classification,Chronic Suppurative Otitis Media,ENT
Types of tympanoplasty,Chronic Suppurative Otitis Media,ENT
Signs of impending complication in attico-antral disease,Chronic Suppurative Otitis Media,ENT
Graft Materials Used in Tympanoplasty,Chronic Suppurative Otitis Media,ENT
Tympanoplasty,Chronic Suppurative Otitis Media,ENT
MC age group affected in otosclerosis,Otosclerosis,ENT
Rx of choice in otosclerosis,Otosclerosis,ENT
Otosclerosis – inheritance,Otosclerosis,ENT
Medication which hastens maturity of active focus in otosclerosis,Otosclerosis,ENT
Tests is used to diagnose otosclerosis,Otosclerosis,ENT
MC affected part in otosclerosis is,Otosclerosis,ENT
Carhart’s notch typically dips at,Otosclerosis,ENT
Types of curves in tympanogram,Otosclerosis,ENT
Lempert’s fenestration operation,Otosclerosis,ENT
Stapedotomy,Otosclerosis,ENT
Paracusis willisii,Otosclerosis,ENT
Muscles of the Eustachian tube,Eustachian Tube,ENT
Causes for otitic barotrauma,Eustachian Tube,ENT
Anatomy of Eustachain tube – Overview,Eustachian Tube,ENT
Length of the eustachian tube,Eustachian Tube,ENT
Autophony is seen in,Eustachian Tube,ENT
Tests for Eustachian tube function,Eustachian Tube,ENT
Muscles of the Eustachian tube,Eustachian Tube,ENT
MC cause of LMN facial nerve palsy,Facial Nerve Disorders,ENT
Branches of Facial Nerve,Facial Nerve Disorders,ENT
MC type of nerve injury,Facial Nerve Disorders,ENT
Ramsay Hunt syndrome – Overview,Facial Nerve Disorders,ENT
Nerve of Wrisberg,Facial Nerve Disorders,ENT
Facial Nerve – Sites of lesion & Clinical Features,Facial Nerve Disorders,ENT
Facial Nerve – Neuroanatomy,Facial Nerve Disorders,ENT
Frey’s syndrome,Facial Nerve Disorders,ENT
Bell’s palsy – Overview,Facial Nerve Disorders,ENT
Hitzelberger’s sign is seen in,Tumors of the Ear,ENT
Glomus jugulare,Tumors of the Ear,ENT
MC presenting symptom of acoustic neuroma,Tumors of the Ear,ENT
Pulsatile tinnitus is seen in,Tumors of the Ear,ENT
Signs in Glomus Tumors,Tumors of the Ear,ENT
Acoustic neuroma,Tumors of the Ear,ENT
Exostosis,Tumors of the Ear,ENT
"During syringing, water jet is directed along",Diseases of External Ear,ENT
Surgery done to widen the cartilaginous part of the external auditory canal,Diseases of External Ear,ENT
Malignant otitis externa,Diseases of External Ear,ENT
Keratosis obturans,Diseases of External Ear,ENT
Otomycosis,Diseases of External Ear,ENT
Retracted tympanic membrane,Diseases of External Ear,ENT
Tos’s classification of retraction of Pars Flaccida,Diseases of External Ear,ENT
Ramsay Hunt syndrome,Diseases of External Ear,ENT
Sade’s classification of retraction of Pars Tensa,Diseases of External Ear,ENT
Swimmer’s ear,Diseases of External Ear,ENT
Congenital anomalies of pinna,Diseases of External Ear,ENT
Methamphetamine abuse – Overview,Narcotics & Deliriants,Forensic Medicine
Datura poisoning – Clinical features,Narcotics & Deliriants,Forensic Medicine
Common poisonous plants,Narcotics & Deliriants,Forensic Medicine
Cannabis preparations,Narcotics & Deliriants,Forensic Medicine
Opioid intoxication – Overview,Narcotics & Deliriants,Forensic Medicine
Railway platform poison,Narcotics & Deliriants,Forensic Medicine
Phencyclidine abuse,Narcotics & Deliriants,Forensic Medicine
Common slang for various drugs and ingestion methods,Narcotics & Deliriants,Forensic Medicine
Cocaine abuse – Clinical features,Narcotics & Deliriants,Forensic Medicine
"Lead Poisoning – Features, Rx",Inorganic Poisons,Forensic Medicine
Luminescent stools are associated with,Inorganic Poisons,Forensic Medicine
Poison found even in skeletal remains,Inorganic Poisons,Forensic Medicine
Selenium Poisoning – Features,Inorganic Poisons,Forensic Medicine
Mercury Poisoning – Findings,Inorganic Poisons,Forensic Medicine
Arsenic poisoning – Findings,Inorganic Poisons,Forensic Medicine
Saturnine gout is seen in,Inorganic Poisons,Forensic Medicine
Clinical features & Lab findings,Inorganic Poisons,Forensic Medicine
Sin of Gomorrah,Sexual Offences,Forensic Medicine
IPC and Sexual Offences,Sexual Offences,Forensic Medicine
Teichmann test,Sexual Offences,Forensic Medicine
List of Sexual offences in India,Sexual Offences,Forensic Medicine
Tests for seminal stains,Sexual Offences,Forensic Medicine
Tests for blood stains,Sexual Offences,Forensic Medicine
Vaginal swab – Timeframe,Sexual Offences,Forensic Medicine
MTP Act 1971,Sexual Offences,Forensic Medicine
Takayama test,Sexual Offences,Forensic Medicine
Florence test,Sexual Offences,Forensic Medicine
Hymen & Rape,Sexual Offences,Forensic Medicine
Barberio test,Sexual Offences,Forensic Medicine
Statutory rape,Sexual Offences,Forensic Medicine
Fetishistic transvestism,Sexual Offences,Forensic Medicine
MTP Amendment 2020,Sexual Offences,Forensic Medicine
POCSO act,Sexual Offences,Forensic Medicine
Haase’s rule,Violence Against Children,Forensic Medicine
Spalding’s sign,Violence Against Children,Forensic Medicine
Posthumous child,Violence Against Children,Forensic Medicine
POCSO,Violence Against Children,Forensic Medicine
Robert’s sign,Violence Against Children,Forensic Medicine
Battered baby syndrome – Overview,Violence Against Children,Forensic Medicine
False positive hydrostatic test,Violence Against Children,Forensic Medicine
Raygat’s Test – overview,Violence Against Children,Forensic Medicine
Named tests,Violence Against Children,Forensic Medicine
Gunshot residue,Explosive & Firearm Injuries,Forensic Medicine
Choking in ballistics,Explosive & Firearm Injuries,Forensic Medicine
Bullet fingerprinting,Explosive & Firearm Injuries,Forensic Medicine
Shotgun ammunition,Explosive & Firearm Injuries,Forensic Medicine
Soft headed bullet,Explosive & Firearm Injuries,Forensic Medicine
Rifling improves which of the following parameters of a weapon,Explosive & Firearm Injuries,Forensic Medicine
Signs of entry wound,Explosive & Firearm Injuries,Forensic Medicine
Internal ballistics,Explosive & Firearm Injuries,Forensic Medicine
Tattooing around the entry wound,Explosive & Firearm Injuries,Forensic Medicine
Lead snowstorm,Explosive & Firearm Injuries,Forensic Medicine
Rat hole appearance of the entry wound,Explosive & Firearm Injuries,Forensic Medicine
Multi-dose activated charcoal – MOA,Poisoning,Forensic Medicine
Administration of activated charcoal will have no effect on,Poisoning,Forensic Medicine
Forced alkaline diuresis – uses,Poisoning,Forensic Medicine
Mechanism of action of corrosives,Poisoning,Forensic Medicine
IPC dealing with negligent conduct with respect to poisons,Poisoning,Forensic Medicine
Antidote of choice for lead poisoning,Poisoning,Forensic Medicine
Ideal suicidal poison,Poisoning,Forensic Medicine
Ideal homicidal poison,Poisoning,Forensic Medicine
Classification of Poisons,Poisoning,Forensic Medicine
Drug automatism,Poisoning,Forensic Medicine
Characteristic odour of toxins,Poisoning,Forensic Medicine
Dimercaprol as antidote,Poisoning,Forensic Medicine
Late signs of death,Postmortem Changes,Forensic Medicine
Odor of the mummified body,Postmortem Changes,Forensic Medicine
Postmortem marbling – timing,Postmortem Changes,Forensic Medicine
Carbon monoxide poisoning,Postmortem Changes,Forensic Medicine
Condition favourable for adipocere formation,Postmortem Changes,Forensic Medicine
Increase in temperature of the body for first 2 hours,Postmortem Changes,Forensic Medicine
Forensic taphonomy – Definition,Postmortem Changes,Forensic Medicine
Pugilistic attitude,Postmortem Changes,Forensic Medicine
First external sign of putrefaction,Postmortem Changes,Forensic Medicine
Fixation of hypostasis – timing,Postmortem Changes,Forensic Medicine
Nysten’s rule,Postmortem Changes,Forensic Medicine
Casper dictum is related to,Postmortem Changes,Forensic Medicine
Order of putrefaction,Postmortem Changes,Forensic Medicine
Glove and stocking hypostasis,Postmortem Changes,Forensic Medicine
Conditions favourable for mummification,Postmortem Changes,Forensic Medicine
Postmortem Changes – Image,Postmortem Changes,Forensic Medicine
Factors affecting rate of postmortem cooling,Postmortem Changes,Forensic Medicine
Postmortem autolysis,Postmortem Changes,Forensic Medicine
Factors delaying Putrefaction,Postmortem Changes,Forensic Medicine
Postmortem Eye Changes,Postmortem Changes,Forensic Medicine
Honeycombing of liver,Postmortem Changes,Forensic Medicine
Maggots – Timimg,Postmortem Changes,Forensic Medicine
Suspended animation,Postmortem Changes,Forensic Medicine
Postmortem lividity – image,Postmortem Changes,Forensic Medicine
Algor mortis,Postmortem Changes,Forensic Medicine
Harvard criteria for brain death,Postmortem Changes,Forensic Medicine
Tests to check cessation of circulation,Postmortem Changes,Forensic Medicine
Cadaveric Rigidity vs Cadaveric spasm,Postmortem Changes,Forensic Medicine
Kevorkian sign,Postmortem Changes,Forensic Medicine
Zasko’s phenomenon,Postmortem Changes,Forensic Medicine
Crown heel length of a 6 month old fetus,Identification,Forensic Medicine
Indices for sex determination,Identification,Forensic Medicine
Best bone in pelvis for sex determination,Identification,Forensic Medicine
Primary & Secondary Dentition,Identification,Forensic Medicine
Age estimation from X-ray – 10-30 yrs,Identification,Forensic Medicine
Most accurate bone for sex determination,Identification,Forensic Medicine
Male vs female skull,Identification,Forensic Medicine
Cephalic index,Identification,Forensic Medicine
Ethnicity & Teeth Features,Identification,Forensic Medicine
First carpal bone to ossify,Identification,Forensic Medicine
Age of mixed dentition,Identification,Forensic Medicine
Edmond Locard is most famous for,Identification,Forensic Medicine
Identical twins have similarities in all except,Identification,Forensic Medicine
Superadded permanent tooth,Identification,Forensic Medicine
Calculation of Gestational Age,Identification,Forensic Medicine
Neonatal line,Identification,Forensic Medicine
Ossification centres and Age,Identification,Forensic Medicine
Age determination from skull sutures,Identification,Forensic Medicine
Juvenile – Definition,Identification,Forensic Medicine
Age estimation in different age groups,Identification,Forensic Medicine
Dental charting,Identification,Forensic Medicine
Age of fusion of skull sutures,Identification,Forensic Medicine
Features of Mongoloid dentition,Identification,Forensic Medicine
Age estimation in childhood,Identification,Forensic Medicine
Tattoo in identification,Identification,Forensic Medicine
Height estimation from Bones,Identification,Forensic Medicine
Male vs Female Pelvis,Identification,Forensic Medicine
Race determination from Hair,Identification,Forensic Medicine
FDI system,Identification,Forensic Medicine
Fingerprints – Overview,Identification,Forensic Medicine
Male vs Female Skull,Identification,Forensic Medicine
Age and medicolegal importance,Identification,Forensic Medicine
Gustafson’s method of age estimation,Identification,Forensic Medicine
Sex chromatin – Overview,Identification,Forensic Medicine
Borrowed servant doctrine,IPC & CRPC,Forensic Medicine
In civil negligence case against a doctor who bears the onus of proof?,IPC & CRPC,Forensic Medicine
Criminal Responsibilities,IPC & CRPC,Forensic Medicine
IPC 193,IPC & CRPC,Forensic Medicine
McNaughten’s rule,IPC & CRPC,Forensic Medicine
IPC 297,IPC & CRPC,Forensic Medicine
IEA Section 45,IPC & CRPC,Forensic Medicine
IPC 84,IPC & CRPC,Forensic Medicine
Patient’s records on demand should be provided within,IPC & CRPC,Forensic Medicine
IPC 320,IPC & CRPC,Forensic Medicine
IPC 304B,IPC & CRPC,Forensic Medicine
First-hand knowledge rule,IPC & CRPC,Forensic Medicine
IPC 354,IPC & CRPC,Forensic Medicine
IPC and Consent,IPC & CRPC,Forensic Medicine
IPC & Sexual offences,IPC & CRPC,Forensic Medicine
IPC 46,IPC & CRPC,Forensic Medicine
IPC 363,IPC & CRPC,Forensic Medicine
IPC 172,IPC & CRPC,Forensic Medicine
IPC 166B & C,IPC & CRPC,Forensic Medicine
IPC 302 & 303,IPC & CRPC,Forensic Medicine
IPC 228A,IPC & CRPC,Forensic Medicine
IPC 497,IPC & CRPC,Forensic Medicine
IPC 192,IPC & CRPC,Forensic Medicine
IPC 54,IPC & CRPC,Forensic Medicine
IPC 326A,IPC & CRPC,Forensic Medicine
IPC 314,IPC & CRPC,Forensic Medicine
IPC 317 & 318,IPC & CRPC,Forensic Medicine
IPC 510,IPC & CRPC,Forensic Medicine
IPC 306,IPC & CRPC,Forensic Medicine
CRPC 175,IPC & CRPC,Forensic Medicine
IPC 309,IPC & CRPC,Forensic Medicine
TIA – Overview,Cerebro vascular Disease,Medicine
MCA Lesion,Cerebro vascular Disease,Medicine
Millard-Gubler syndrome,Cerebro vascular Disease,Medicine
Types of Aphasia,Cerebro vascular Disease,Medicine
Balint’s syndrome,Cerebro vascular Disease,Medicine
Pontine Hemorrhage,Cerebro vascular Disease,Medicine
Emergency Rx of Ischemic stroke,Cerebro vascular Disease,Medicine
Foville’s syndrome,Cerebro vascular Disease,Medicine
Raised ICT – Overview,Cerebro vascular Disease,Medicine
Indications & Contraindications for Thrombolysis,Cerebro vascular Disease,Medicine
Ant Choroidal Artery lesion,Cerebro vascular Disease,Medicine
Intracerebral Hemorrhage – common site,Cerebro vascular Disease,Medicine
Wallenberg syndrome,Cerebro vascular Disease,Medicine
Medullary syndromes,Cerebro vascular Disease,Medicine
Weber’s syndrome,Cerebro vascular Disease,Medicine
Lacunar syndromes,Cerebro vascular Disease,Medicine
Berry aneurysm – Risk of rupture,Cerebro vascular Disease,Medicine
Ant Cerebral Artery Lesion,Cerebro vascular Disease,Medicine
CHA2DS2-VASC score,Cerebro vascular Disease,Medicine
"SAH – Causes, clinical features",Cerebro vascular Disease,Medicine
ABCD2 Score,Cerebro vascular Disease,Medicine
Dominant vs Non-dominant parietal lobe lesions,Cerebro vascular Disease,Medicine
Thrombolysis – Complications,Cerebro vascular Disease,Medicine
Frontal lobe lesions,Cerebro vascular Disease,Medicine
"Cortical Venous Thrombosis – Causes. Clinical Features, Rx",Cerebro vascular Disease,Medicine
Intracranial Hemorrhage – overview,Cerebro vascular Disease,Medicine
Gerstmann syndrom,Cerebro vascular Disease,Medicine
Dominant vs Non-dominant temporal lobe lesions,Cerebro vascular Disease,Medicine
Dejerine Roussy syndrome,Cerebro vascular Disease,Medicine
Anton’s Syndrome,Cerebro vascular Disease,Medicine
Refractory ascites,Cirrhosis,Medicine
Child Turcotte Pugh score,Cirrhosis,Medicine
Liver cell type implicated in liver fibrosis is,Cirrhosis,Medicine
Budd chiari syndrome – Overview,Cirrhosis,Medicine
Earliest symptom of hepatic encephalopathy,Cirrhosis,Medicine
Factors predict the risk of bleeding,Cirrhosis,Medicine
Diagnostic criteria of hepatorenal syndrome,Cirrhosis,Medicine
Precipitating factors of Hepatic Encephalopathy,Cirrhosis,Medicine
MELD Scoring System,Cirrhosis,Medicine
Spontaneous bacterial peritonitis,Cirrhosis,Medicine
Hepatopulmonary syndrome – Overview,Cirrhosis,Medicine
Hepatic Encephalopathy Grading,Cirrhosis,Medicine
Causes of cirrhosis,Cirrhosis,Medicine
Serology in Viral Hepatitis,Cirrhosis,Medicine
Primary Biliary Cirrhosis,Cirrhosis,Medicine
TIPS,Cirrhosis,Medicine
Primary Sclerosing cholangitis,Cirrhosis,Medicine
Portal hypertension – Clinical features,Cirrhosis,Medicine
Rx of Hepatic Encephalopathy,Cirrhosis,Medicine
Hepatorenal syndrome – Overview,Cirrhosis,Medicine
Kawasaki’s – Clinical Features,Vaculitis,Medicine
Cryoglobulinemia,Vaculitis,Medicine
Polyarteritis nodosa – Clinical features & Diagnosis,Vaculitis,Medicine
MC vessel involved in Takayasu,Vaculitis,Medicine
Wegener’s granulomatosis,Vaculitis,Medicine
Churg-Strauss syndrome,Vaculitis,Medicine
ANCA,Vaculitis,Medicine
Behcet’s syndrome – overview,Vaculitis,Medicine
Small vessel vasculitis – Examples,Vaculitis,Medicine
Granulomatous vasculitis,Vaculitis,Medicine
Hypersensitivity vasculitis,Vaculitis,Medicine
Connective tissue disorders which can cause vasculitis,Vaculitis,Medicine
Granulomatosis with polyangiitis – Overview,Vaculitis,Medicine
Giant cell arteritis,Vaculitis,Medicine
Takayasu – Clinical Features,Vaculitis,Medicine
ECG in Multifocal Atrial Tachycardia,Arrythmias,Medicine
V-Tach – Rx,Arrythmias,Medicine
Fusion Beat – ECG,Arrythmias,Medicine
Sick sinus syndrome,Arrythmias,Medicine
WPW syndrome – Overview,Arrythmias,Medicine
AF & Digitalis Toxicity,Arrythmias,Medicine
"Torsade De Pointes – Causes,ECG, Rx",Arrythmias,Medicine
CHADS2-VASc,Arrythmias,Medicine
Types of Heart block,Arrythmias,Medicine
Bundle of Kent,Arrythmias,Medicine
AICD indications,Arrythmias,Medicine
Brugada syndrome,Arrythmias,Medicine
PVC types,Arrythmias,Medicine
Alcohol & AF,Arrythmias,Medicine
PSVT – Rx,Arrythmias,Medicine
Causes of AV block,Arrythmias,Medicine
AV Node Re-entrant Tachycardia – ECG and Rx,Arrythmias,Medicine
DOC for PSVT,Arrythmias,Medicine
Rx for PSVT,Arrythmias,Medicine
WPW with AF – Rx,Arrythmias,Medicine
Atrial Flutter – ECG,Arrythmias,Medicine
MC SVT,Arrythmias,Medicine
Wide QRS Ventricular Tachy – Causes,Arrythmias,Medicine
Romano-Ward syndrome,Arrythmias,Medicine
SVT – Types & Classification,Arrythmias,Medicine
"Paroxysmal SVT – Features, Types",Arrythmias,Medicine
Drugs in AF in various scenarios,Arrythmias,Medicine
Accessory pathways,Arrythmias,Medicine
Arrhythmias caused by accessory pathways,Arrythmias,Medicine
Accelerated idioventricular rhythm,Arrythmias,Medicine
Sudden cardiac death,Arrythmias,Medicine
V-Tach – Types and ECG,Arrythmias,Medicine
Medical therapy of Pituitary tumor,Pitutary tumours,Medicine
Prolactin – Normal range,Pitutary tumours,Medicine
Craniopharyngioma – Overview,Pitutary tumours,Medicine
Non-functioning pituitary adenoma – Cell of origin,Pitutary tumours,Medicine
Panhypopituitarism – Clinical features,Pitutary tumours,Medicine
MC functioning tumor,Pitutary tumours,Medicine
MC pituitary tumor,Pitutary tumours,Medicine
Post-hypophysectomy hormone replacement,Pitutary tumours,Medicine
Sheehan’s syndrome – Overview,Pitutary tumours,Medicine
Pituitary apoplexy – Overview,Pitutary tumours,Medicine
Prolactinoma – Clinical features,Pitutary tumours,Medicine
Visual field defect in Pituitary tumor,Pitutary tumours,Medicine
Role of RT in Pituitary tumor,Pitutary tumours,Medicine
"PCP – overview ( Investigations, Rx)",HIV,Medicine
HIV subtypes – Overview,HIV,Medicine
Time interval between HIV infection & manifestation of AIDS,HIV,Medicine
Genetic resistance to HIV infection,HIV,Medicine
Leading cause of meningitis in AIDS,HIV,Medicine
Diagnostic test of choice for HIV in a baby born to an HIV-infected mother,HIV,Medicine
Rx of Pregnant HIV woman,HIV,Medicine
PCNSL – Rx,HIV,Medicine
Anti-retroviral drug – Overview,HIV,Medicine
Acute HIV syndrome – Overview,HIV,Medicine
Nelfinavir – ADR,HIV,Medicine
Modes of HIV transmission,HIV,Medicine
Clinical stages of HIV in Pediatrics,HIV,Medicine
PEP for HIV,HIV,Medicine
Kaposi’s – overview,HIV,Medicine
"ART – Overview ( Indications, ADRs, Resistance)",HIV,Medicine
Clinical stages of HIV in Adults,HIV,Medicine
Tests for HIV,HIV,Medicine
Cerebral Toxoplasmosis – Overview (clinical Features ),HIV,Medicine
Immune Reconstitution Inflammatory Syndrome,HIV,Medicine
AIDS-defining opportunistic infections,HIV,Medicine
Absent y descent,Cardiovascular System – Diagnos,Medicine
Disappearance of Loud S1 in mitral stenosis,Cardiovascular System – Diagnos,Medicine
Austin Flint murmur,Cardiovascular System – Diagnos,Medicine
‘a’ wave in JVP,Cardiovascular System – Diagnos,Medicine
Continuous murmur,Cardiovascular System – Diagnos,Medicine
Mid-diastolic murmur,Cardiovascular System – Diagnos,Medicine
Pulsus paradoxus,Cardiovascular System – Diagnos,Medicine
Loud S1,Cardiovascular System – Diagnos,Medicine
Soft S1,Cardiovascular System – Diagnos,Medicine
Graham Steell murmur,Cardiovascular System – Diagnos,Medicine
Dynamic auscultation of murmurs,Cardiovascular System – Diagnos,Medicine
Signs in Aortic Regurgitation,Cardiovascular System – Diagnos,Medicine
Types of abnormal pulse,Cardiovascular System – Diagnos,Medicine
Ventricular & Atrial gallop,Cardiovascular System – Diagnos,Medicine
"Named murmurs (Still’s,Carey Coombs )",Cardiovascular System – Diagnos,Medicine
Findings in Genetic syndromes (Marfan’s etc ),Cardiovascular System – Diagnos,Medicine
JVP waveform and the abnormalities,Cardiovascular System – Diagnos,Medicine
"Wide, Narrow, reverse splitting of S2",Cardiovascular System – Diagnos,Medicine
Diabetic nephropathy – Overview,Complications of Diabetes,Medicine
DKA – Overview,Complications of Diabetes,Medicine
Fatal complications of DM,Complications of Diabetes,Medicine
Microvascular vs Macrovasular complications,Complications of Diabetes,Medicine
Necrobiosis lipoidica diabeticorum,Complications of Diabetes,Medicine
Most reliable indicator of diabetic nephropathy,Complications of Diabetes,Medicine
Chance of developing blindness in a diabetic patient,Complications of Diabetes,Medicine
Foot ulcer – Causative factors,Complications of Diabetes,Medicine
Legacy effect or metabolic memory,Complications of Diabetes,Medicine
Earliest manifestation of diabetic nephropathy,Complications of Diabetes,Medicine
Eye evaluation in DM,Complications of Diabetes,Medicine
Diabetic Retinopathy – Timeframe,Complications of Diabetes,Medicine
Pathologic findings in Diabetic Nephropathy,Complications of Diabetes,Medicine
DKA & Pottasium,Complications of Diabetes,Medicine
Dyslipidemia in DM,Complications of Diabetes,Medicine
DKA Complications,Complications of Diabetes,Medicine
Diabetic neuropathy – Overview,Complications of Diabetes,Medicine
Rx of Diabetic Nephropathy,Complications of Diabetes,Medicine
Management of DKA,Complications of Diabetes,Medicine
DKA vs Hyperosmolar state,Complications of Diabetes,Medicine
Reversible vs Irreversible complications,Complications of Diabetes,Medicine
Treatment Goals in DM,Complications of Diabetes,Medicine
Combination of antianginal drugs that should be avoided,Ischemic Heart Disease,Medicine
Wellen’s syndrome,Ischemic Heart Disease,Medicine
What is the dose of streptokinase used in thrombolytic therapy of MI?,Ischemic Heart Disease,Medicine
What is the mechanism of action of Ranolazine?,Ischemic Heart Disease,Medicine
Dressler syndrome,Ischemic Heart Disease,Medicine
Stable angina,Ischemic Heart Disease,Medicine
ECG findings – acute myocardial infarction,Ischemic Heart Disease,Medicine
Rose questionnaire,Ischemic Heart Disease,Medicine
MC arrhythmia after reperfusion of an occluded coronary artery by fibrinolytic therapy,Ischemic Heart Disease,Medicine
Troponins,Ischemic Heart Disease,Medicine
Drug-eluting​ stents used in PCI,Ischemic Heart Disease,Medicine
Contraindications for the use of fibrinolytic agents,Ischemic Heart Disease,Medicine
Prinzmetal (variant) angina,Ischemic Heart Disease,Medicine
Differential diagnosis of ST-segment elevation:,Ischemic Heart Disease,Medicine
NSTEMI,Ischemic Heart Disease,Medicine
Cardiac Biomarkers,Ischemic Heart Disease,Medicine
"Named signs in IHD (Levine’s, Mayne’s )",Ischemic Heart Disease,Medicine
Characteristic features of stable angina,Ischemic Heart Disease,Medicine
Plasminogen activators,Ischemic Heart Disease,Medicine
Rx of H. Pylori,Peptic Ulcer Disease,Medicine
Indications of surgery in duodenal ulcer,Peptic Ulcer Disease,Medicine
NSAID-induced peptic ulcer,Peptic Ulcer Disease,Medicine
Pernicious Anemia – Clinical features,Peptic Ulcer Disease,Medicine
Types Of Gastric Ulcers,Peptic Ulcer Disease,Medicine
Phlegmonous gastritis occurs due to,Peptic Ulcer Disease,Medicine
Best investigation for metastatic gastrinoma,Peptic Ulcer Disease,Medicine
Viral cause of gastritis,Peptic Ulcer Disease,Medicine
H. pylori associated conditions,Peptic Ulcer Disease,Medicine
Indications for screening for H.pylori,Peptic Ulcer Disease,Medicine
Investigations for Gastrinoma,Peptic Ulcer Disease,Medicine
Zollinger Ellison Syndrome – Overview,Peptic Ulcer Disease,Medicine
Complications of Peptic Ulcer,Peptic Ulcer Disease,Medicine
Mucosal defences,Peptic Ulcer Disease,Medicine
Gastic and Duodenal Ulcer – Clinical features,Peptic Ulcer Disease,Medicine
Features of Crohn’s disease,Inflammatory Bowel Disease,Medicine
Earliest radiologic change seen on barium enema in ulcerative colitis is,Inflammatory Bowel Disease,Medicine
Tests helps to distinguish IBD from IBS,Inflammatory Bowel Disease,Medicine
Features of ulcerative colitis,Inflammatory Bowel Disease,Medicine
Markers for inflammatory bowel disease,Inflammatory Bowel Disease,Medicine
Genetic disorder associated with IBD,Inflammatory Bowel Disease,Medicine
Causes of Metabolic Acidosis,Acid-Base Disturbances,Medicine
Metabolic alkalosis – Overview,Acid-Base Disturbances,Medicine
Not done before drawing blood for ABG,Acid-Base Disturbances,Medicine
Interpret ABG,Acid-Base Disturbances,Medicine
